"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNFSF9",0.40725343661728,3.2380005439617,0.02,0,1
"unknownAHS0524-unknown-AHS0524-pAbO",0.40725343661728,1.76036554495622,0.02,0,1
"unknownAMM2586-unknown-AMM2586-pAbO",0.40725343661728,2.95394099404187,0.02,0,1
"SLC25A37",0.40728956738784,-0.848807229890873,0.059,0.108,1
"CD56:NCAM16.2-NCAM1-AHS0019-pAbO",0.410252270264865,-0.763097143978328,0.745,0.622,1
"LGALS9",0.411254946251684,-0.820034101914359,0.039,0.081,1
"ADA",0.416217823138287,1.09030609295462,0.137,0.081,1
"CASP3",0.416285404030823,0.558086584785509,0.196,0.135,1
"KLRF1",0.427985515652502,0.216375864059869,0.059,0.108,1
"IL26",0.427985515652502,2.68846384385829,0.098,0.054,1
"LAT",0.436690005734038,0.141908567411111,0.412,0.324,1
"AHR",0.437327981089786,0.679623639279524,0.294,0.216,1
"TNF",0.443724948939984,-0.494977395668488,0.196,0.27,1
"AIM2",0.449280960904316,1.69046407860011,0.098,0.054,1
"IL10",0.449280960904316,1.46097188971524,0.098,0.054,1
"TCR-Valpha7-TRAV7--AHS0282-pAbO",0.451853730090983,0.187874849825976,0.98,0.946,1
"LGALS3",0.46587702949093,-0.558933127549407,0.549,0.622,1
"BCL6",0.467826189932287,3.05372061262655,0.059,0.027,1
"CD5",0.467826189932287,3.50807651938093,0.059,0.027,1
"DDIT3",0.476373377243096,-0.974778563711023,0.176,0.108,1
"CHI3L2",0.482304747645019,3.62991795999586,0.059,0.027,1
"TGFA",0.482323490791551,0.122890702315139,0.098,0.054,1
"IFIH1",0.493624259419039,-0.591019839469071,0.098,0.054,1
"ITGAL",0.497023508667288,1.2345665933331,0.059,0.027,1
"CD7",0.500905255391124,-0.673100665845291,0.118,0.162,1
"TBX21",0.501220142744745,1.06883553905274,0.275,0.216,1
"CD69-CD69-AHS0010-pAbO",0.512381138265911,0.404045946818126,0.98,0.919,1
"ITGB2",0.515353973048454,1.76244006365295,0.176,0.135,1
"GPR65",0.515460057520992,0.46853028723346,0.373,0.297,1
"NFATC1",0.51664443918191,-0.574614133827617,0.098,0.054,1
"CCND2",0.51883330497447,0.177400263606865,0.196,0.135,1
"RORA",0.520892654624914,0.514924037590697,0.784,0.757,1
"IRF9",0.521885266721841,0.653443406286787,0.431,0.378,1
"APOBEC3G",0.525737942579273,0.248778204630873,0.51,0.432,1
"CD8:SK1-CD8A-AHS0228-pAbO",0.542780110944958,-0.297623189462,1,1,1
"EGR1",0.547029691335992,-0.592606220781838,0.118,0.162,1
"LCK",0.552345549229212,0.229239735917525,0.804,0.784,1
"TIGIT-TIGIT-AHS0705-pAbO",0.556500610138984,0.502939254759017,0.118,0.162,1
"DOCK8",0.558825042018911,-0.400836802520592,0.51,0.514,1
"LEF1",0.569450886638748,-0.366074000543291,0.294,0.216,1
"CD4:RPA-T4-CD4-AHS0227-pAbO",0.577566133806906,3.13383920248908,0.765,0.784,1
"TNFSF8",0.582108645170042,-0.3874878513589,0.275,0.324,1
"CustomAbSeq12-ACU7012-pAbO",0.588514126603546,-0.325038086041193,1,0.973,1
"FASLG",0.593229778612469,1.39219865797133,0.196,0.162,1
"STAT4",0.596324900174094,0.605917334347623,0.471,0.405,1
"ANXA5",0.596324900174094,0.826391163471747,0.451,0.432,1
"LAP3",0.599931456895903,0.563090245550234,0.588,0.541,1
"TRAT1",0.604018188789686,0.310247758478034,0.667,0.622,1
"CD69",0.609928974821449,-0.37596792109104,0.765,0.784,1
"ZFP36",0.614083189917236,0.540185441115276,0.569,0.541,1
"NFATC2",0.62028454895692,-0.148995747301418,0.392,0.324,1
"REL",0.620811114461189,-0.210700922131294,0.275,0.216,1
"ATF6B",0.621801117724414,1.75392244724347,0.078,0.054,1
"KLRB1",0.629934055333871,-0.263909164524464,1,1,1
"FOSL2",0.631703798153107,2.06122021314235,0.157,0.135,1
"TNFSF10",0.632665112399572,0.727698454964943,0.235,0.216,1
"ZEB2",0.635532541687958,2.57843860450228,0.078,0.054,1
"PRF1",0.645301559254331,0.563220984059313,0.627,0.622,1
"IGBP1",0.648412361695928,0.538518132468761,0.314,0.27,1
"GZMB",0.656316909674054,0.595430680101711,0.471,0.514,1
"SLC4A10",0.672551492436011,0.324388562056176,1,1,1
"IL23R",0.674208807530394,-0.640156758855148,0.608,0.568,1
"GPR171",0.684561499290992,-0.566308875378082,0.059,0.081,1
"GZMH",0.690392523141977,0.893909597473449,0.078,0.108,1
"CD8A",0.690869558160242,-0.336565760300123,0.863,0.892,1
"IFITM2",0.699288707569663,0.590549840438874,0.51,0.595,1
"CCL5",0.709939366619298,-0.30839607341368,0.961,0.973,1
"FOXO1",0.711554652796251,-0.369612792552252,0.137,0.162,1
"S1PR1",0.712730030847025,0.510382443993717,0.333,0.297,1
