"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GZMB",0.0703731466344589,0.472159330801291,0.281,0.225,1
"RPN2",0.0705290350877883,0.11744257369054,0.638,0.621,1
"APOBEC3G",0.0711019832986851,0.380534182552323,0.299,0.241,1
"KLRD1",0.0759830218617746,1.86760569115276,0.08,0.045,1
"KLRK1",0.0769691311283323,0.562045187022305,0.518,0.495,1
"TIGIT",0.0800462824357249,1.68840841355124,0.116,0.074,1
"CXCL11",0.0818845245539406,4.38895685390487,0.018,0.003,1
"CEBPD",0.0821573031006232,0.292174706753862,0.094,0.055,1
"LAMP1",0.0830101772139959,0.315227951985136,0.634,0.672,1
"KIT",0.0831639730205293,-0.903015245467794,0.013,0.039,1
"CNOT2",0.0871060601089522,0.429332083211153,0.326,0.277,1
"IGHG1-secreted",0.0890822520654941,-3.49773576064658,0.004,0.023,1
"TBX21",0.0913200470884353,0.985156334714151,0.129,0.087,1
"IRF4",0.0919330596678151,1.01501451826741,0.143,0.1,1
"STING1",0.0958238613952485,-0.614105751060569,0.067,0.109,1
"ITGAE",0.101943909533277,-0.254567621592035,0.281,0.373,1
"FYN",0.103172749080504,0.34245633515385,0.728,0.759,1
"LTA",0.103878310398048,0.659571061801565,0.121,0.08,1
"DPP4",0.105020201252897,1.1354277642454,0.165,0.122,1
"TNFRSF1B",0.105407655688667,0.938155169588229,0.308,0.257,1
"IFNAR1",0.106193784757322,0.777672171935004,0.214,0.167,1
"KLRC1",0.10645991956624,1.39448673384504,0.089,0.055,1
"SLAMF1",0.107870022527391,0.573566144252679,0.214,0.164,1
"VNN2",0.111444450259531,1.94286132260693,0.098,0.064,1
"TXK",0.111639328266,-0.588335183512821,0.103,0.151,1
"FOXP1",0.113777018085002,0.498829531907876,0.241,0.193,1
"GZMK",0.114160709921218,0.601560755698337,0.281,0.225,1
"TNFSF8",0.114459131731727,-0.469505181264227,0.129,0.186,1
"BACH1",0.11468527257945,1.07573642776981,0.196,0.154,1
"CustomAbSeq13-ACU7013-pAbO",0.114810667300968,0.902044966588815,0.089,0.055,1
"LAT",0.116661577367816,0.413219176405543,0.513,0.508,1
"IL2RA",0.117195799727447,1.16825009583115,0.076,0.045,1
"BCL11B",0.118952426234843,0.640448044840389,0.362,0.325,1
"FTH1",0.125216710234503,-0.614390659011637,0.027,0.055,1
"IFI27",0.125837220695786,2.36010647070788,0.027,0.01,1
"KLRC4",0.128832411810702,-0.103152987900073,0.027,0.055,1
"FOXO3",0.128992775028473,1.00092531535391,0.174,0.135,1
"AIM2",0.137370665386355,1.08204320764276,0.058,0.032,1
"ZBTB32",0.137486885340211,1.17081825275056,0.031,0.013,1
"CXCL16",0.138764545637371,-1.34803956835844,0.004,0.019,1
"NFATC1",0.140183219824041,1.16159232321421,0.112,0.077,1
"BATF3",0.140566744826339,1.14480177046119,0.031,0.013,1
"ANXA5",0.141286231533556,0.736320496173345,0.263,0.215,1
"CD72",0.141421402381339,-4.4400453461141,0,0.01,1
"CD79A",0.141421402381339,-3.28396475037908,0,0.01,1
"LAIR2",0.141421402381339,-4.20858819277288,0,0.01,1
"TLR2",0.141421402381339,-3.66007718453392,0,0.01,1
"IL12RB1",0.146299135443608,1.24942353794513,0.036,0.016,1
"NKG7",0.154717621878787,0.512881624153342,0.272,0.228,1
"CD30-Tnfrsf8-AMM2221-pAbO",0.156397631911341,-1.70207433131919,0.009,0.026,1
"THBS1",0.158527215346211,-1.38834318784021,0.009,0.026,1
"STAT4",0.158946311593292,0.636308692621366,0.321,0.293,1
"IER3",0.176795491508231,4.45171571089389,0.013,0.003,1
"LY86",0.176795491508231,2.66966616408185,0.013,0.003,1
"CXCR5",0.178016208644481,2.46270516926823,0.013,0.003,1
"FOSB",0.17996124084663,1.36796752134282,0.156,0.119,1
"SOCS3",0.180476445844582,0.882084452233886,0.013,0.003,1
"NOTCH1",0.180741625431584,-0.528000616095258,0.045,0.074,1
"IL10",0.182789031338967,1.24638482575482,0.138,0.106,1
"SGK1",0.183300750845615,0.388071961891383,0.067,0.103,1
