"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CNOT2",0.495428960421563,0.463393789338622,0.31,0.27,1
"GZMB",0.496420159148776,1.01453216395222,0.54,0.514,1
"BTG1",0.496567660870881,0.137854252001223,1,1,1
"FAS",0.511726140892717,-0.245829896970348,0.23,0.162,1
"TNF",0.512659936553949,0.487802605516029,0.31,0.27,1
"SELL",0.517015973758227,0.594273495812699,0.31,0.27,1
"IL17F",0.520948754815824,-0.404448777145432,0.092,0.054,1
"AHNAK",0.525744667222401,2.95447779859997,0.011,0,1
"AREG",0.525744667222401,2.24045564545083,0.011,0,1
"BLK",0.525744667222401,2.81545219042306,0.011,0,1
"CD200",0.525744667222401,1.50814557719508,0.011,0,1
"CD270-Tnfrsf14-AMM2267-pAbO",0.525744667222401,0.971310513433757,0.011,0,1
"CD279:EH12-1-PDCD1-AHS0014-pAbO",0.525744667222401,0.302770747865477,0.011,0,1
"CD38",0.525744667222401,2.13383403199046,0.011,0,1
"CD40",0.525744667222401,2.80495472280749,0.011,0,1
"CD45-PTPRC-AHS0040-pAbO",0.525744667222401,1.48535870646388,0.011,0,1
"CXCL16",0.525744667222401,3.992628098385,0.011,0,1
"CustomAbSeq15-ACU7015-pAbO",0.525744667222401,0.732874639544908,0.011,0,1
"ENTPD1",0.525744667222401,3.08752457746336,0.011,0,1
"FOXP3",0.525744667222401,1.48946564900129,0.011,0,1
"IGHM-secreted",0.525744667222401,1.8793950243703,0.011,0,1
"IL1R1",0.525744667222401,1.03022980427547,0.011,0,1
"IL1RL1",0.525744667222401,1.64014865959236,0.011,0,1
"IL6R",0.525744667222401,1.13477460822119,0.011,0,1
"JCHAIN",0.525744667222401,2.59092713143208,0.011,0,1
"JUNB",0.525744667222401,2.87367598445551,0.011,0,1
"Ki-67-MKI67-AHS0286-pAbO",0.525744667222401,0.302770747865477,0.011,0,1
"LAYN",0.525744667222401,1.69263458210012,0.011,0,1
"LILRB1",0.525744667222401,3.09448240140866,0.011,0,1
"MCM4",0.525744667222401,1.69263458210012,0.011,0,1
"PDCD1",0.525744667222401,1.10192010779697,0.011,0,1
"PDGFB",0.525744667222401,0.835493340371144,0.011,0,1
"SOCS3",0.525744667222401,1.66486875811227,0.011,0,1
"TCF7",0.525744667222401,2.2378036558924,0.011,0,1
"TGFB3",0.525744667222401,1.7626033690514,0.011,0,1
"TLR2",0.525744667222401,3.55658680040599,0.011,0,1
"TLR9",0.525744667222401,3.09448240140866,0.011,0,1
"TNFRSF13C",0.525744667222401,3.1316314817709,0.011,0,1
"TNFRSF8",0.525744667222401,2.81826613878804,0.011,0,1
"TNFSF9",0.525744667222401,2.73775798582464,0.011,0,1
"unknownAHS0517-unknown-AHS0517-pAbO",0.525744667222401,0.302770747865477,0.011,0,1
"EGR3",0.526851312137112,1.47693584312279,0.115,0.162,1
"EOMES",0.531524351085393,-3.89688475667253,0.011,0.027,1
"IFNGR2",0.531524351085393,-1.92835185907538,0.011,0.027,1
"KLRC4",0.531524351085393,-2.99472702542849,0.011,0.027,1
"JUN",0.535125796666135,0.581939958000778,0.23,0.189,1
"IL12RB2",0.540884749461866,0.746789743682653,0.287,0.243,1
"BCL2L1",0.548070772377389,-0.368360484140213,0.011,0.027,1
"CD9",0.548070772377389,-1.22895991442732,0.011,0.027,1
"F5",0.548070772377389,-1.15871433718508,0.011,0.027,1
"NR4A1",0.548070772377389,1.83952858934344,0.011,0.027,1
"SGK1",0.553535017488707,0.287961132598444,0.138,0.189,1
"REL",0.55762848605141,-0.389937842074986,0.161,0.216,1
"IL26",0.560056955835116,2.96451267751084,0.08,0.054,1
"RORC",0.560308466957431,0.558466714609239,0.195,0.27,1
"HLA-DPA1",0.565177217348238,1.09614477109884,0.115,0.081,1
"BIRC3",0.566179916483778,0.863464166447654,0.448,0.459,1
"CCL5",0.566345877520167,0.433738129414354,0.943,0.973,1
"LAP3",0.571468895067285,0.841937315901363,0.563,0.541,1
"NFKBIA",0.572143267715624,1.22927194891339,0.115,0.081,1
"KLRC3",0.576519816835546,2.97484555181118,0.08,0.054,1
"IL10",0.584835954050192,2.78121034853988,0.08,0.054,1
"GPR183",0.589945878913826,0.567792598981788,0.391,0.486,1
"KLRC1",0.594380492456426,2.08954759416557,0.264,0.243,1
"TNFRSF25",0.601633383587609,0.856876333131175,0.08,0.054,1
"CD4",0.60813430841351,1.16486621493065,0.046,0.027,1
"CD40LG",0.60813430841351,3.1249465024602,0.046,0.027,1
"CCL3",0.614845050120494,0.914474221410895,0.149,0.189,1
"IFIH1",0.618645086256248,1.23716044330575,0.08,0.054,1
"TIAF1",0.618645086256248,0.617314850835228,0.08,0.054,1
"CD300A",0.619389798043826,-0.650556482694592,0.034,0.054,1
"FYB",0.628345090101968,0.813825125933607,0.23,0.189,1
"BATF3",0.63073522457721,-0.121265039751577,0.034,0.054,1
"CD72",0.63073522457721,1.40519093210118,0.046,0.027,1
"FAM65B",0.63257298776214,-0.243348844837433,0.471,0.486,1
"IL23R",0.637711870078206,-0.225600196715667,0.655,0.568,1
"NR4A3",0.642168371005691,0.853889647188641,0.034,0.054,1
"AQP3",0.642168371005691,-0.266128339934581,0.046,0.027,1
"PIK3AP1",0.64421060819984,0.535031616779993,0.563,0.568,1
"ANXA1",0.652305918219101,0.233327422562343,0.943,0.973,1
"TMEM97",0.65368695797039,-0.830131351928744,0.046,0.027,1
"BATF",0.655982285363946,-0.248641325080021,0.287,0.324,1
"CD6",0.657425861079169,0.52540794528715,0.598,0.595,1
"CD52",0.673373047517529,0.14656776108645,0.828,0.838,1
"ITK",0.673895923572018,0.525376748247261,0.402,0.378,1
"LAMP3",0.687131067525231,0.902677675566737,0.195,0.162,1
"CXCL5",0.694992350706263,0.118390774037086,0.276,0.297,1
"LYN",0.711146469823011,0.138462456431771,0.138,0.108,1
"PSEN1",0.715905029178182,0.216537393487478,0.552,0.541,1
"AIM2",0.724338618689279,1.25711380059621,0.069,0.054,1
"IL17RE",0.7330042731337,-0.471882562059899,0.172,0.135,1
"ZBP1",0.734007351191064,0.501050884485693,0.161,0.135,1
"IL2RA",0.744446265641498,1.3365166926064,0.172,0.162,1
"SOCS1",0.753373986291003,0.732562461289653,0.069,0.054,1
"CD69",0.753897414118496,0.343349092907445,0.747,0.784,1
"TNFSF8",0.763907537763072,-0.11587750770656,0.287,0.324,1
"IRF7",0.769705932837555,-0.63928033669225,0.092,0.108,1
"BTG2",0.772408340764304,0.1614978919957,0.46,0.514,1
"ZBTB32",0.782762415772093,-0.411714891031074,0.069,0.054,1
"SLC16A1",0.787085459738318,-0.461346809746042,0.161,0.135,1
"LTB",0.792630196536425,0.286418802647703,0.069,0.054,1
"IFITM1",0.799797666599888,0.573329438860316,0.494,0.622,1
"RUNX1",0.802531301694631,-0.241786024894383,0.069,0.054,1
"IL18BP",0.81658619646465,2.81083618144765,0.034,0.027,1
"BACH2",0.82449614050141,-0.291041620641468,0.126,0.108,1
"CustomAbSeq13-ACU7013-pAbO",0.827370381229934,0.257004386178752,0.241,0.243,1
"YBX3",0.830471740184057,2.29153706227009,0.034,0.027,1
"C10orf54",0.83079509209833,1.7679914569934,0.115,0.108,1
"GZMA",0.831008046094135,0.403179820270248,0.598,0.676,1
"THBS1",0.831357272225383,-0.693519693488895,0.046,0.054,1
"MYB",0.833364809174097,1.3418061666019,0.092,0.081,1
"ICOS",0.834482747036005,0.80983738643062,0.161,0.189,1
"CD45RO-PTPRC-AHS0036-pAbO",0.837622131705781,0.273482196089337,0.874,0.919,1
"VEGFA",0.844410423627339,0.884986758504113,0.034,0.027,1
"MT2A",0.850382947102788,0.755594872347199,0.54,0.595,1
"TNFRSF1A",0.85164184209619,0.326011685205776,0.195,0.216,1
"ARL4C",0.854041390759727,-0.300525189622533,0.299,0.324,1
"STING1",0.858397997115495,-0.632075951864446,0.034,0.027,1
"ITGA1",0.861898352197994,1.24780102751222,0.207,0.243,1
"FUT4",0.865875129734572,0.102791410658316,0.046,0.054,1
"OAS1",0.878362348660968,1.10640822756654,0.184,0.189,1
"IFITM3",0.880518986516847,0.31778053366312,0.506,0.568,1
"BCL2A1",0.882645015893993,0.224400464901375,0.172,0.189,1
"CXCR3",0.88579707908308,-2.34202384355155,0.023,0.027,1
"NT5E",0.88579707908308,-2.51853143823342,0.023,0.027,1
"TCL1A",0.88579707908308,-1.90390319170841,0.023,0.027,1
"ZAP70",0.88579707908308,-1.46037575658178,0.023,0.027,1
"TGFA",0.8890343025148,1.2403491341398,0.046,0.054,1
"LTA",0.908593151257049,0.445781175675677,0.172,0.189,1
"ATF6B",0.913022296534519,1.20961820849909,0.057,0.054,1
"ADGRG1",0.918289291968898,2.58011232717552,0.023,0.027,1
"CXCL10",0.918289291968898,2.8549325333996,0.023,0.027,1
"ID3",0.918289291968898,1.63799941313143,0.023,0.027,1
"IFI27",0.918289291968898,3.84752918005961,0.023,0.027,1
"IL23A",0.918289291968898,2.26207230342739,0.023,0.027,1
"TBX21",0.921674884933852,0.41735784789484,0.218,0.216,1
"S1PR1",0.923280249339194,0.362720228743622,0.276,0.297,1
"IL2RB",0.924445842207707,-0.138838438653569,0.655,0.649,1
"CCR2",0.926281911210268,-0.924298049636842,0.08,0.081,1
"FOSB",0.928120015230179,1.64486114821168,0.172,0.189,1
"ZFP36",0.930895604128774,0.689810949758821,0.517,0.541,1
"XCL2",0.945573099055662,-1.18958072618609,0.057,0.054,1
"AHR",0.945729449452251,0.841376523612946,0.218,0.216,1
"HAVCR2",0.953886150455496,1.5866961287289,0.08,0.081,1
"CCR7",0.955792759733118,0.64825827620948,0.161,0.162,1
"IFITM2",0.963429476118205,0.464149423629423,0.529,0.595,1
"IL18",0.967327628649029,-0.859627143277322,0.057,0.054,1
"RUNX3",0.969215376946147,0.215299239388258,0.713,0.784,1
"IRF4",0.979146916222462,1.16311920908732,0.149,0.162,1
"CBLB",0.988776936114756,0.32512910265743,0.598,0.649,1
"GZMH",0.991805175940829,1.2706918812379,0.103,0.108,1
"PASK",0.994200085172079,-0.155806616501417,0.241,0.243,1
"GNAI2",1,0.721742096152716,0.103,0.108,1
